ceo,company_founded,job_title,cb_link,location,primary_organisation
 Kunal Shah ,2,Founder and CEO,/person/kunal-shah-2," Mumbai, Maharashtra, India", CRED 
 Nithin Kamath ,2,Founder & CEO,/person/nithin-kamath," Bangalore, Karnataka, India", Zerodha 
 Alok Mittal ,3,"CEO, Co-Founder & Managing Director",/person/alok-mittal," Gurgaon, Haryana, India", Indifi Technologies 
 Jitendra Gupta ,3,CEO,/person/jitendra-gupta-2," Mumbai, Maharashtra, India", Jupiter 
 Sachin Bansal ,2,CEO,/person/sachin-bansal," Bangalore, Karnataka, India", Chaitanya Rural Intermediation and Development Services 
 Harsh Jain ,3,CEO and Co-Founder,/person/harsh-jain-3," Mumbai, Maharashtra, India", Dream11 
 Karnika Yashwant ,3,Founder and CEO,/person/karnika-yashwant," Mumbai, Maharashtra, India", KEY Difference Media 
 Prashant Tandon ,1,CEO & Co-Founder,/person/prashant-tandon," Gurgaon, Haryana, India", 1mg 
 Suumit Shah ,3,Founder and CEO,/person/suumit-shah," Mumbai, Maharashtra, India", Dukaan® 
 Deep Kalra ,1,CEO & Executive Chairman,/person/deep-kalra," Gurgaon, Haryana, India", MakeMyTrip.com 
 Ashish Kashyap ,5,Founder & CEO,/person/ashish-kashyap," Gurgaon, Haryana, India", INDwealth 
 Girish Mathrubootham ,2,Founder and CEO,/person/girish-mathrubootham," Chennai, Tamil Nadu, India", Freshworks 
 Varun Mayya ,1,CEO and Founder,/person/varun-mayya," Bangalore, Karnataka, India", Jobspire 
 Albinder Dhindsa ,1,Co-founder and CEO,/person/albinder-dhindsa," Gurgaon, Haryana, India", Grofers 
 Tarun Mehta ,1,Co-founder & CEO,/person/tarun-mehta," Chennai, Tamil Nadu, India", Ather Energy 
 Vikram Chopra ,2,CEO and Co-Founder,/person/vikram-chopra," Gurgaon, Haryana, India", CARS24 
 Pawan Munjal ,—,"Chairman, Managing Director & CEO",/person/pawan-munjal," Delhi, Delhi, India", HeroMotoCorp Ltd 
 Advait Thakur ,2,Founder & CEO,/person/advait-thakur," Mumbai, Maharashtra, India", Apex Infosys India 
 Vihari Kanukollu ,1,CEO and Co-Founder,/person/vihari-kanukollu," Hyderabad, Andhra Pradesh, India", UrbanKisaan 
 Rajesh Sawhney ,2,Co-Founder and CEO,/person/rajesh-sawhney," Gurgaon, Haryana, India", InnerChef 
